Column,Mean,Median,Median,n,Min,Perc. 10,Perc. 90,Max,t stat,SD,SD,Ske w,Kurt
Announcer_Returns,0.500858266138889,0.6138760505,0.6138760505,1512,-16.90253291,-2.1572096461,3.1235890711000005,15.91043441,7.873029253686612,2.4737105210020833,2.4737105210020833,-0.5518539155404617,6.300925678507777
Non_Announcer_Returns,0.34225295195634925,0.454558828,0.454558828,1512,-17.84117372,-2.0781925778,2.6107712423000007,17.76888342,5.58293699885741,2.3837481619595753,2.3837481619595753,-0.4074371050003447,10.472012624312939
Ann_Non,0.15860531418452378,0.1457164775,0.1457164775,1512,-13.14791387,-0.8894221132,1.2964849322000003,7.42744227,5.499647607966471,1.1213953924580342,1.1213953924580342,-1.2972201716882887,19.78559641613238
